Scen,Country,Dataset,R2,RMSPE,MAPE
M1,Cambodia,trainr,0.987624458537034,0.0333014941181173,0.0214843004437017
M1,Cambodia,testr,0.712951289304573,0.106774444570023,0.0883079203797533
M2,Cambodia,trainr,0.986845552690563,0.0401031338286801,0.0239260638612274
M2,Cambodia,testr,0.430430091307297,0.157457913483255,0.127407296904891
M3,Cambodia,trainr,0.984086487283584,0.0544737975943223,0.0293008904158034
M3,Cambodia,testr,0.20267870814384,0.189198349636987,0.147933655704152
W2,Cambodia,trainr,0.991441079440163,0.0251021295890299,0.0167056400511482
W2,Cambodia,testr,0.891911521187868,0.0664494273604707,0.0543779562859934
M1,Indonesia,trainr,0.98704007379763,0.0141239343294259,0.0102401674404516
M1,Indonesia,testr,0.824171478110697,0.049967786363407,0.0403123406566266
M2,Indonesia,trainr,0.98439851680289,0.0192338772378196,0.0146172162339425
M2,Indonesia,testr,0.811012484378173,0.0652003762507466,0.0517303788362561
M3,Indonesia,trainr,0.983539747919575,0.022188048213258,0.0165778387483948
M3,Indonesia,testr,0.771644853693089,0.0755550444092158,0.060433592161959
W2,Indonesia,trainr,0.99043890605777,0.0113239183968469,0.00846813704912034
W2,Indonesia,testr,0.92860151302688,0.0307034266133242,0.0240529233571593
M1,Laos,trainr,0.978195353439114,0.0484733207781089,0.0327957243138716
M1,Laos,testr,0.720153266067666,0.135685709000297,0.0997179157294656
M2,Laos,trainr,0.967872964848243,0.0686892976452221,0.0459711440440929
M2,Laos,testr,0.405878669203677,0.198656269177448,0.149290078255413
M3,Laos,trainr,0.966494923403855,0.0696693796391054,0.0466802237388126
M3,Laos,testr,0.306576899846133,0.224848940025475,0.167394037294293
W2,Laos,trainr,0.985805201012633,0.0328674332012055,0.0228463355266894
W2,Laos,testr,0.905968721538487,0.0755518933121353,0.0539797926346572
M1,Malaysia,trainr,0.974833196066236,0.017798944587692,0.0128121095041496
M1,Malaysia,testr,0.680862528762682,0.0563373839845507,0.0463296825358923
M2,Malaysia,trainr,0.982636292569607,0.0161069791917235,0.0109508660649783
M2,Malaysia,testr,0.351487949129613,0.110797709566845,0.0949450225362174
M3,Malaysia,trainr,0.970157387974341,0.0301698367340894,0.0216561973726498
M3,Malaysia,testr,0.188893738852564,0.0954454975738565,0.0807460157515812
W2,Malaysia,trainr,0.97978377295103,0.0143999040737666,0.0104934527605777
W2,Malaysia,testr,0.858866135226208,0.0351155052205887,0.0278233492258391
M1,Myanmar,trainr,0.980356888546297,0.0299111753563132,0.0223078705651489
M1,Myanmar,testr,0.692672144983174,0.101153144726539,0.0750608873336729
M2,Myanmar,trainr,0.980748220760476,0.0334250663798958,0.0243772860691705
M2,Myanmar,testr,0.418454512520899,0.137293610946896,0.106441523428343
M3,Myanmar,trainr,0.986797647813349,0.0288338969805232,0.0210422378103573
M3,Myanmar,testr,0.309098248065086,0.151094038139397,0.120167020630322
W2,Myanmar,trainr,0.983369784976664,0.0247270045947452,0.0183690508522462
W2,Myanmar,testr,0.892804738613636,0.0586094269094522,0.0439042220405509
M1,Philippines,trainr,0.989145853356677,0.0124777626145107,0.00908034202294575
M1,Philippines,testr,0.78169022566326,0.0543776847535691,0.042227858113061
M2,Philippines,trainr,0.987589520820371,0.0141691871303021,0.010677125847772
M2,Philippines,testr,0.591481955630225,0.0748217944211066,0.0593464899087483
M3,Philippines,trainr,0.979163669315702,0.0187809621878351,0.0143969255215618
M3,Philippines,testr,0.57211439864382,0.0753481261935388,0.0605419302082973
W2,Philippines,trainr,0.99232503878689,0.0101411170348522,0.00742542685593769
W2,Philippines,testr,0.923111881590451,0.0311053867476366,0.0238796695067357
M1,Thailand,trainr,0.981181079683097,0.0369921620769659,0.0232470512170243
M1,Thailand,testr,0.800462136904726,0.0900908790404811,0.073520811057392
M2,Thailand,trainr,0.976189875822247,0.0534191438602865,0.0325598749039504
M2,Thailand,testr,0.44833589670272,0.15219741781914,0.126189189384026
M3,Thailand,trainr,0.979106271475157,0.0533889249280084,0.032443099076004
M3,Thailand,testr,0.286287791437174,0.173998425765886,0.14605161906814
W2,Thailand,trainr,0.98941268959659,0.0233871009156155,0.0156281492115969
W2,Thailand,testr,0.918941616927578,0.0569697865437455,0.0440314441151637
M1,Timor-Leste,trainr,0.988065741579279,0.0194350215735602,0.013839705658177
M1,Timor-Leste,testr,0.740215076556144,0.083484291452174,0.0663513802083438
M2,Timor-Leste,trainr,0.989726217314115,0.0194388420187443,0.0142342801772811
M2,Timor-Leste,testr,0.483638435470709,0.111607425207691,0.0885375036806383
M3,Timor-Leste,trainr,0.983537566226128,0.0263468832545688,0.0199373371354844
M3,Timor-Leste,testr,0.365251807516683,0.118126040517247,0.0908422006630212
W2,Timor-Leste,trainr,0.990733067220099,0.016231243856926,0.0118372519168571
W2,Timor-Leste,testr,0.905442282236322,0.050143239511073,0.0398455036985124
M1,Vietnam,trainr,0.979657636479288,0.0228308061004736,0.0165590847645839
M1,Vietnam,testr,0.695322060672174,0.0671927628391264,0.05525779713237
M2,Vietnam,trainr,0.940564088752096,0.0433155088231528,0.0326687428437275
M2,Vietnam,testr,0.496789064416075,0.0916493075910116,0.0763206555012457
M3,Vietnam,trainr,0.957785132090616,0.0376634794209378,0.027885611516725
M3,Vietnam,testr,0.479778113712321,0.0905493349023209,0.0742881955853003
W2,Vietnam,trainr,0.984614394954019,0.0174757431457249,0.0130505177922182
W2,Vietnam,testr,0.889033060059183,0.040068160842548,0.0323899130421082
