Date-Monthly,"Cambodia, Wholesale, Banteay Meanchey, Rice (Mix), USD/kg" Commodity Code: 1006_38 ,"Cambodia, Wholesale, Battambang, Rice (Mix), USD/kg" Commodity Code: 1006_38 ,"Cambodia, Wholesale, Kampong Chhnang, Rice (Mix), USD/kg" Commodity Code: 1006_38 ,"Cambodia, Wholesale, Phnom Penh, Rice (Mix), USD/kg" Commodity Code: 1006_38 
Aug-21,0.44,0.39,0.48,0.44
Jul-21,0.44,0.39,0.49,0.44
Jun-21,0.44,0.39,0.47,0.44
May-21,0.44,0.39,0.48,0.39
Apr-21,0.44,0.39,0.48,0.40
Mar-21,0.44,0.37,0.49,0.39
Feb-21,0.44,0.37,0.48,0.39
Jan-21,0.44,0.37,0.47,0.39
Dec-20,0.43,0.37,0.47,0.39
Nov-20,0.43,0.37,0.48,0.39
Oct-20,0.42,0.37,0.46,0.39
Sep-20,0.42,0.37,0.46,0.39
Aug-20,0.42,0.37,0.45,0.39
Jul-20,0.42,0.37,0.45,0.39
Jun-20,0.41,0.36,0.45,0.40
May-20,0.41,0.36,0.45,0.39
Apr-20,0.42,0.37,0.44,0.39
Mar-20,0.42,0.37,0.43,0.39
Feb-20,0.44,0.37,0.43,0.39
Jan-20,0.44,0.38,0.43,0.44
Dec-19,0.42,0.38,0.46,0.44
Nov-19,0.44,0.37,0.46,0.44
Oct-19,0.44,0.37,0.46,0.44
Sep-19,0.44,0.38,0.45,0.44
Aug-19,0.42,0.39,0.45,0.44
Jul-19,0.42,0.38,0.44,0.44
Jun-19,0.42,0.37,0.46,0.44
May-19,0.42,0.44,0.45,0.44
Apr-19,0.43,0.37,0.47,0.45
Mar-19,0.43,0.37,0.50,0.45
Feb-19,0.43,0.37,0.46,0.45
Jan-19,0.43,0.39,0.46,0.45
Dec-18,0.42,0.41,0.52,0.45
Nov-18,0.42,0.41,0.54,0.44
Oct-18,0.44,0.40,0.53,0.44
Sep-18,0.42,0.40,0.50,0.44
Aug-18,0.42,0.42,0.40,0.44
Jul-18,0.47,0.44,0.54,0.44
Jun-18,0.42,0.37,0.53,0.42
May-18,0.42,0.41,0.52,0.44
Apr-18,0.40,0.37,0.42,0.42
Mar-18,0.40,0.39,0.44,0.42
Feb-18,0.41,0.37,0.44,0.42
Jan-18,0.40,0.37,0.44,0.42
Dec-17,0.40,0.37,0.43,0.42
Nov-17,0.45,0.37,0.44,0.42
Oct-17,0.44,0.37,0.43,0.42
Sep-17,0.39,0.37,0.43,0.42
Aug-17,0.39,0.37,0.43,0.46
Jul-17,0.39,0.37,0.43,0.42
Jun-17,0.39,0.37,0.43,0.42
May-17,0.39,0.37,0.42,0.42
Apr-17,0.40,0.37,0.44,0.42
Mar-17,0.37,0.35,0.44,0.42
Feb-17,0.35,0.31,0.44,0.42
Jan-17,0.36,0.23,0.44,0.40
Dec-16,0.32,0.20,0.42,0.36
Nov-16,0.37,0.34,0.45,0.40
