Date-Monthly,"Indonesia, Retail, National Average, Rice, USD/kg" Commodity Code: 1006 
Jul-21,0.96
Jun-21,0.98
May-21,0.98
Apr-21,0.97
Mar-21,0.98
Feb-21,1.01
Jan-21,1.00
Dec-20,1.00
Nov-20,0.99
Oct-20,0.96
Sep-20,0.95
Aug-20,0.96
Jul-20,0.97
Jun-20,1.00
May-20,0.95
Apr-20,0.90
Mar-20,0.94
Feb-20,1.03
Jan-20,1.03
Dec-19,1.00
Nov-19,0.99
Oct-19,0.99
Sep-19,0.99
Aug-19,0.98
Jul-19,0.99
Jun-19,0.98
May-19,0.97
Apr-19,0.99
Mar-19,1.00
Feb-19,1.02
Jan-19,1.01
Dec-18,0.97
Nov-18,0.95
Oct-18,0.92
Sep-18,0.93
Aug-18,0.95
Jul-18,0.96
Jun-18,0.99
May-18,0.99
Apr-18,1.02
Mar-18,1.04
Feb-18,1.08
Jan-18,1.09
Dec-17,1.01
Nov-17,0.99
Oct-17,0.99
Sep-17,0.99
Aug-17,0.98
Jul-17,0.98
Jun-17,0.99
May-17,0.98
Apr-17,0.98
Mar-17,0.98
Feb-17,0.99
Jan-17,0.99
Dec-16,0.98
Nov-16,0.99
Oct-16,1.01
Sep-16,1.00
Aug-16,1.00
Jul-16,1.00
Jun-16,0.98
May-16,0.97
Apr-16,0.99
Mar-16,1.01
Feb-16,0.99
Jan-16,0.96
Dec-15,0.95
Nov-15,0.96
Oct-15,0.95
Sep-15,0.90
Aug-15,0.92
Jul-15,0.94
Jun-15,0.93
May-15,0.94
Apr-15,0.96
Mar-15,1.00
Feb-15,1.00
Jan-15,0.99
Dec-14,0.98
Nov-14,0.96
Oct-14,0.95
Sep-14,0.96
Aug-14,0.97
Jul-14,0.97
Jun-14,0.95
May-14,0.97
Apr-14,0.99
Mar-14,1.01
Feb-14,0.95
Jan-14,0.92
Dec-13,0.92
Nov-13,0.95
Oct-13,0.97
Sep-13,0.97
Aug-13,1.03
Jul-13,1.08
Jun-13,1.08
May-13,1.09
Apr-13,1.09
Mar-13,1.11
Feb-13,1.12
Jan-13,1.12
Dec-12,1.11
Nov-12,1.09
Oct-12,1.09
Sep-12,1.09
Aug-12,1.09
Jul-12,1.10
Jun-12,1.09
May-12,1.10
Apr-12,1.13
Mar-12,1.13
Feb-12,1.16
Jan-12,1.15
Dec-11,1.11
Nov-11,1.09
Oct-11,1.10
Sep-11,1.11
Aug-11,1.11
Jul-11,1.09
Jun-11,1.04
May-11,1.02
Apr-11,1.01
Mar-11,1.01
Feb-11,1.03
Jan-11,1.02
Dec-10,1.01
Nov-10,0.97
Oct-10,0.95
Sep-10,0.94
Aug-10,0.93
Jul-10,0.89
Jun-10,0.83
May-10,0.80
Apr-10,0.82
Mar-10,0.82
Feb-10,0.83
Jan-10,0.81
Dec-09,0.73
Nov-09,0.71
Oct-09,0.71
Sep-09,0.68
Aug-09,0.67
Jul-09,0.66
Jun-09,0.65
May-09,0.64
Apr-09,0.61
Mar-09,0.57
Feb-09,0.57
Jan-09,0.59
Dec-08,0.58
Nov-08,0.54
Oct-08,0.64
Sep-08,0.69
Aug-08,0.70
Jul-08,0.70
Jun-08,0.69
May-08,0.69
Apr-08,0.67
Mar-08,0.68
Feb-08,0.7
