Date-Monthly,"Lao People's Democratic Republic, Retail, Vientiane Capital, Rice (Ordinary,first quality), USD/kg" Commodity Code: 1006_49 
May-21,1.06
Apr-21,1.06
Mar-21,1.07
Feb-21,1.07
Jan-21,1.08
Dec-20,1.08
Nov-20,1.08
Oct-20,1.08
Sep-20,1.10
Aug-20,1.10
Jul-20,1.08
Jun-20,1.11
May-20,1.11
Apr-20,1.17
Mar-20,1.18
Feb-20,1.18
Jan-20,1.10
Dec-19,1.19
Nov-19,1.19
Oct-19,1.22
Sep-19,1.17
Aug-19,1.18
Jul-19,1.18
Jun-19,1.13
May-19,
Apr-19,
Mar-19,1.17
Feb-19,1.17
Jan-19,1.17
Dec-18,1.16
Nov-18,1.16
Oct-18,1.21
Sep-18,1.21
Aug-18,1.16
Jul-18,1.16
Jun-18,1.18
May-18,1.19
Apr-18,1.20
Mar-18,1.20
Feb-18,1.14
Jan-18,1.14
Dec-17,1.14
Nov-17,1.13
Oct-17,1.20
Sep-17,1.20
Aug-17,1.20
Jul-17,1.19
Jun-17,1.19
May-17,1.20
Apr-17,1.20
Mar-17,1.20
Feb-17,1.20
Jan-17,1.20
Dec-16,1.20
Nov-16,1.20
Oct-16,1.21
Sep-16,1.23
Aug-16,1.23
Jul-16,1.23
Jun-16,1.23
May-16,1.23
Apr-16,1.23
Mar-16,1.23
Feb-16,1.23
Jan-16,1.22
Dec-15,1.22
Nov-15,1.22
Oct-15,1.22
Sep-15,1.22
Aug-15,1.13
Jul-15,1.13
Jun-15,1.14
May-15,1.14
Apr-15,1.14
Mar-15,1.14
Feb-15,1.14
Jan-15,1.14
Dec-14,1.11
Nov-14,1.12
Oct-14,1.12
Sep-14,1.06
Aug-14,1.06
Jul-14,1.06
Jun-14,1.09
May-14,1.09
Apr-14,1.09
Mar-14,1.09
Feb-14,1.09
Jan-14,1.07
Dec-13,1.05
Nov-13,1.11
Oct-13,1.20
Sep-13,1.16
Aug-13,1.17
Jul-13,1.19
Jun-13,1.20
May-13,1.21
Apr-13,1.18
Mar-13,1.17
Feb-13,1.17
Jan-13,1.13
Dec-12,1.13
Nov-12,1.12
Oct-12,1.09
Sep-12,1.07
Aug-12,1.07
Jul-12,1.01
Jun-12,1.00
May-12,1.00
Apr-12,1.00
Mar-12,1.00
Feb-12,1.00
Jan-12,1.00
Dec-11,1.00
Nov-11,1.00
Oct-11,1.00
Sep-11,1.00
Aug-11,1.00
Jul-11,1.00
Jun-11,1.00
May-11,1.00
Apr-11,
Mar-11,1.12
Feb-11,1.12
Jan-11,1.12
Dec-10,1.12
Nov-10,1.12
Oct-10,1.21
Sep-10,1.13
Aug-10,1.10
Jul-10,1.09
Jun-10,1.09
May-10,0.97
Apr-10,0.96
Mar-10,0.94
Feb-10,0.94
Jan-10,0.94
Dec-09,0.94
Nov-09,0.94
Oct-09,0.94
Sep-09,0.94
Aug-09,0.94
Jul-09,0.94
Jun-09,0.94
May-09,0.94
Apr-09,0.93
Mar-09,0.93
Feb-09,0.94
Jan-09,0.97
Dec-08,0.90
Nov-08,0.90
Oct-08,0.90
Sep-08,0.89
Aug-08,0.89
Jul-08,0.89
Jun-08,1.01
May-08,0.97
Apr-08,0.90
Mar-08,0.77
Feb-08,0.72
Jan-08,0.71
Dec-07,0.67
Nov-07,0.65
Oct-07,0.64
Sep-07,0.63
Aug-07,0.61
Jul-07,0.61
Jun-07,0.61
May-07,0.59
Apr-07,0.57
Mar-07,0.57
Feb-07,0.57
Jan-07,0.57
Dec-06,0.53
Nov-06,0.51
Oct-06,0.50
Sep-06,0.51
Aug-06,0.49
Jul-06,0.49
Jun-06,0.48
May-06,0.47
Apr-06,0.46
Mar-06,0.46
Feb-06,0.45
Jan-06,0.44
