Date-Monthly,"Myanmar, Wholesale, Yangon, Rice (Emata, EHYV-FQ), USD/kg" Commodity Code: 1006_3 
Jul-21,0.30
Jun-21,0.30
May-21,0.31
Apr-21,
Mar-21,
Feb-21,0.44
Jan-21,0.45
Dec-20,0.44
Nov-20,0.46
Oct-20,0.47
Sep-20,0.43
Aug-20,0.38
Jul-20,
Jun-20,
May-20,
Apr-20,0.38
Mar-20,0.38
Feb-20,0.35
Jan-20,0.31
Dec-19,0.31
Nov-19,0.28
Oct-19,0.27
Sep-19,0.27
Aug-19,0.29
Jul-19,0.29
Jun-19,
May-19,
Apr-19,0.28
Mar-19,0.30
Feb-19,0.39
Jan-19,0.38
Dec-18,0.36
Nov-18,0.33
Oct-18,0.34
Sep-18,0.33
Aug-18,0.34
Jul-18,0.35
Jun-18,0.35
May-18,0.34
Apr-18,0.35
Mar-18,0.37
Feb-18,0.36
Jan-18,0.33
Dec-17,0.32
Nov-17,0.33
Oct-17,0.34
Sep-17,0.36
Aug-17,0.32
Jul-17,0.32
Jun-17,0.31
May-17,0.30
Apr-17,0.29
Mar-17,0.29
Feb-17,0.28
Jan-17,0.28
Dec-16,0.29
Nov-16,0.27
Oct-16,0.30
Sep-16,0.33
Aug-16,0.37
Jul-16,0.36
Jun-16,0.36
May-16,0.35
Apr-16,0.36
Mar-16,0.36
Feb-16,0.37
Jan-16,0.34
Dec-15,0.33
Nov-15,0.32
Oct-15,0.38
Sep-15,0.38
Aug-15,0.37
Jul-15,0.33
Jun-15,0.36
May-15,0.33
Apr-15,0.34
Mar-15,0.34
Feb-15,0.33
Jan-15,0.31
Dec-14,0.30
Nov-14,0.31
Oct-14,0.34
Sep-14,0.37
Aug-14,0.37
Jul-14,0.38
Jun-14,0.36
May-14,0.35
Apr-14,0.39
Mar-14,0.38
Feb-14,0.34
Jan-14,0.32
Dec-13,0.30
Nov-13,0.35
Oct-13,0.37
Sep-13,
Aug-13,
Jul-13,
Jun-13,
May-13,
Apr-13,
Mar-13,
Feb-13,0.43
Jan-13,
Dec-12,
Nov-12,
Oct-12,0.44
Sep-12,0.44
Aug-12,0.40
Jul-12,0.38
Jun-12,0.38
May-12,0.39
Apr-12,0.34
Mar-12,0.35
Feb-12,0.35
Jan-12,0.40
Dec-11,
Nov-11,0.43
Oct-11,0.42
Sep-11,0.45
Aug-11,0.47
Jul-11,0.44
Jun-11,0.44
May-11,0.43
Apr-11,0.40
Mar-11,0.39
Feb-11,
Jan-11,
Dec-10,
Nov-10,0.41
Oct-10,0.40
Sep-10,0.39
Aug-10,0.37
Jul-10,0.36
Jun-10,0.36
May-10,0.34
Apr-10,0.33
Mar-10,0.32
Feb-10,0.32
Jan-10,0.30
