Date-Monthly,"Indonesia, Retail, National Average, Rice, Rupiah-real/kg" Commodity Code: 1006 ,"Indonesia, Retail, National Average, Rice, USD/kg" Commodity Code: 1006 
Jul-21,"8,943.86",0.96
Jun-21,"8,972.97",0.98
May-21,"8,959.30",0.98
Apr-21,"9,000.77",0.97
Mar-21,"9,054.33",0.98
Feb-21,"9,077.43",1.01
Jan-21,"9,068.86",1.00
Dec-20,"9,087.51",1.00
Nov-20,"9,121.64",0.99
Oct-20,"9,171.51",0.96
Sep-20,"9,181.53",0.95
Aug-20,"9,182.35",0.96
Jul-20,"9,189.00",0.97
Jun-20,"9,202.07",1.00
May-20,"9,231.72",0.95
Apr-20,"9,248.28",0.90
Mar-20,"9,238.44",0.94
Feb-20,"9,233.56",1.03
Jan-20,"9,227.40",1.03
Dec-19,"9,175.40",1.00
Nov-19,"9,190.76",0.99
Oct-19,"9,192.86",0.99
Sep-19,"9,183.66",0.99
Aug-19,"9,147.36",0.98
Jul-19,"9,166.46",0.99
Jun-19,"9,191.04",0.98
May-19,"9,246.51",0.97
Apr-19,"9,351.54",0.99
Mar-19,"9,520.12",1.00
Feb-19,"9,599.05",1.02
Jan-19,"9,565.14",1.01
Dec-18,"9,492.03",0.97
Nov-18,"9,474.81",0.95
Oct-18,"9,434.44",0.92
Sep-18,"9,438.08",0.93
Aug-18,"9,394.03",0.95
Jul-18,"9,389.81",0.96
Jun-18,"9,413.73",0.99
May-18,"9,513.44",0.99
Apr-18,"9,640.50",1.02
Mar-18,"9,849.74",1.04
Feb-18,"10,109.85",1.08
Jan-18,"10,012.31",1.09
Dec-17,"9,482.08",1.01
Nov-17,"9,377.14",0.99
Oct-17,"9,338.09",0.99
Sep-17,"9,247.08",0.99
Aug-17,"9,174.67",0.98
Jul-17,"9,165.38",0.98
Jun-17,"9,209.23",0.99
May-17,"9,252.51",0.98
Apr-17,"9,273.00",0.98
Mar-17,"9,317.10",0.98
Feb-17,"9,370.43",0.99
Jan-17,"9,406.66",0.99
Dec-16,"9,482.80",0.98
Nov-16,"9,510.93",0.99
Oct-16,"9,532.54",1.01
Sep-16,"9,536.94",1.00
Aug-16,"9,570.82",1.00
Jul-16,"9,586.18",1.00
Jun-16,"9,604.54",0.98
May-16,"9,611.53",0.97
Apr-16,"9,683.02",0.99
Mar-16,"9,783.02",1.01
Feb-16,"9,857.46",0.99
Jan-16,"9,806.72",0.96
Dec-15,"9,781.47",0.95
Nov-15,"9,817.13",0.96
Oct-15,"9,783.41",0.95
Sep-15,"9,701.31",0.90
Aug-15,"9,502.87",0.92
Jul-15,"9,389.58",0.94
Jun-15,"9,413.47",0.93
May-15,"9,405.23",0.94
Apr-15,"9,536.10",0.96
Mar-15,"10,055.47",1.00
Feb-15,"9,851.61",1.00
Jan-15,"9,541.43",0.99
Dec-14,"9,339.20",0.98
Nov-14,"9,162.43",0.96
Oct-14,"9,165.73",0.95
Sep-14,"9,137.25",0.96
Aug-14,"9,127.73",0.97
Jul-14,"9,114.97",0.97
Jun-14,"9,149.22",0.95
May-14,"9,155.95",0.97
Apr-14,"9,247.59",0.99
Mar-14,"9,451.07",1.01
Feb-14,"9,315.57",0.95
Jan-14,"9,204.60",0.92
Dec-13,"9,177.51",0.92
Nov-13,"9,167.02",0.95
Oct-13,"9,162.13",0.97
Sep-13,"9,163.91",0.97
Aug-13,"9,115.42",1.03
Jul-13,"9,151.74",1.08
Jun-13,"9,292.83",1.08
May-13,"9,324.56",1.09
Apr-13,"9,333.54",1.09
Mar-13,"9,427.50",1.11
Feb-13,"9,534.80",1.12
Jan-13,"9,603.52",1.12
Dec-12,"9,601.04",1.11
