Scen,CRN,q1,q9,preds,actual,time
W2,Cambodia,40.74,46.45,43.8732019333333,47.14,2016-07-25
W2,Cambodia,41.55,47.51,44.5549983333334,47.54,2016-08-01
W2,Cambodia,42.64,48.84,45.4966627000001,47.77,2016-08-08
W2,Cambodia,42.89,50.24,46.0002048666668,48.22,2016-08-15
W2,Cambodia,42.66,50.24,46.2530353333334,48.37,2016-08-22
W2,Cambodia,42.71,50.733,46.6197373333334,49.16,2016-08-29
W2,Cambodia,44.075,51.69,47.3181543333333,50.09,2016-09-05
W2,Cambodia,44.31,51.93,47.676297,50.82,2016-09-12
W2,Cambodia,44.305,52.39,48.165775,52.22,2016-09-19
W2,Cambodia,44.31,52.7,48.265319,54.48,2016-09-26
W2,Cambodia,44.38,53.02,48.9331293333334,57.05,2016-10-03
W2,Cambodia,44.888,52.732,49.1702803333333,58.27,2016-10-10
W2,Cambodia,45.379,54.608,50.6864953333333,57.95,2016-10-17
W2,Cambodia,46.072,56.29,51.8176430000001,57.24,2016-10-24
W2,Cambodia,44.92,56.29,51.6134113333334,55.82,2016-10-31
W2,Cambodia,46.08,56.29,51.328701,54.96,2016-11-07
W2,Cambodia,44.99,55.42,51.0201893333333,55.56,2016-11-14
W2,Cambodia,44.92,52.7,49.7067706666667,55.94,2016-11-21
W2,Cambodia,45.963,54.22,50.232521,58.74,2016-11-28
W2,Cambodia,45.95,60.95,52.053989,61.1,2016-12-05
W2,Cambodia,44.92,63.96,54.3372690000001,62.51,2016-12-12
W2,Cambodia,45.938,66.3,56.866324,63.52,2016-12-19
W2,Cambodia,49.38,68.74,58.3088083333333,64.49,2016-12-26
W2,Cambodia,60.16,70.89,65.8691303333333,65.8,2017-01-02
W2,Cambodia,59.23,70.96,66.121262,67.27,2017-01-09
W2,Cambodia,60.27,74.08,67.168933,66.43,2017-01-16
W2,Cambodia,60.59,74.08,67.5909623333333,64.78,2017-01-23
W2,Cambodia,60.59,74.08,67.521489,62.24,2017-01-30
W2,Cambodia,60.16,69.8,66.0212463333333,59.44,2017-02-06
W2,Cambodia,59.69,69.8,64.8236673333333,57.98,2017-02-13
W2,Cambodia,54.43,67.46,62.2169426666666,58.72,2017-02-20
W2,Cambodia,52.6,67.46,60.815513,62.16,2017-02-27
W2,Cambodia,52.53,66.57,58.9851849333334,61.94,2017-03-06
W2,Cambodia,56.183,68.74,62.2863486666667,63.07,2017-03-13
W2,Cambodia,54.44,68.74,61.129994,62.82,2017-03-20
W2,Cambodia,55.94,69.318,61.9172946666668,61.19,2017-03-27
W2,Cambodia,54.58,68.14,59.8049116666668,58.79,2017-04-03
W2,Cambodia,54.22,66.71,58.8737286666667,56.38,2017-04-10
W2,Cambodia,52.28,65.55,56.723078,54.84,2017-04-17
W2,Cambodia,49.08,55.42,52.321347,52.97,2017-04-24
W2,Cambodia,46.92,53.033,49.7903853333333,52.5,2017-05-01
W2,Cambodia,45.63,52.39,48.8914656666667,51.4,2017-05-08
W2,Cambodia,44.38,52.39,48.229198,48.85,2017-05-15
